pid,Product Name,Brand,Price,Discount,Original Price,Rating,No. of Ratings,No. of Reviews,Category,Subcategory,Availability,Product URL
REMGAXA4GM4XUFZF,NeroEdge Mi Remote XMRM-00A Mi Remote Controller with Netflix & Prime Video Button Voice Search mi xioami redmi Remote Controller  (Black),NeroEdge,299,86,"2,299",3.8,"1,211",134,Home & Kitchen,Home Appliances,Available,https://www.flipkart.com/neroedge-mi-remote-xmrm-00a-controller-netflix-prime-video-button-voice-search-xioami-redmi/p/itm0a31ab3ecad6b?pid=REMGAXA4GM4XUFZF&lid=LSTREMGAXA4GM4XUFZFYIZB1E&marketplace=FLIPKART&store=j9e&srno=b_1_4&otracker=product_breadCrumbs_Home%20%26%20Kitchen&fm=organic&iid=e7ca7e5c-0ecf-4535-981e-020620c47cd0.REMGAXA4GM4XUFZF.SEARCH&ppt=None&ppn=None&ssid=mhjnvn64y80000001755100140781
REMFERNGKUVENVWQ,Airtel 100% ORIGINAL Universal (CHECK IMAGES BEFORE PURCHASE) Airtel DTH Remote Controller  (Black),Airtel,165,72,599,4.1,"3,043",215,Home & Kitchen,Home Appliances,Available,https://www.flipkart.com/airtel-100-original-universal-check-images-before-purchase-dth-remote-controller/p/itmferztgvceucnh?pid=REMFERNGKUVENVWQ&lid=LSTREMFERNGKUVENVWQK2U1WP&marketplace=FLIPKART&store=j9e&srno=b_1_5&otracker=product_breadCrumbs_Home%20%26%20Kitchen&fm=organic&iid=e7ca7e5c-0ecf-4535-981e-020620c47cd0.REMFERNGKUVENVWQ.SEARCH&ppt=None&ppn=None&ssid=mhjnvn64y80000001755100140781
REMGZYFYGUEYQ6QU,Xpecial 0NE-PLUS Led without Voice Control Remote Compatible with ONEPLUS 4K SMART LED LCD TV Remote Controller  (Black),Xpecial,229,84,"1,499",3.7,228,12,Home & Kitchen,Home Appliances,Available,https://www.flipkart.com/xpecial-0ne-plus-led-without-voice-control-remote-compatible-oneplus-4k-smart-lcd-tv-controller/p/itmb08150ad943c3?pid=REMGZYFYGUEYQ6QU&lid=LSTREMGZYFYGUEYQ6QUOTM0AC&marketplace=FLIPKART&store=j9e&srno=b_1_6&otracker=product_breadCrumbs_Home%20%26%20Kitchen&fm=organic&iid=e7ca7e5c-0ecf-4535-981e-020620c47cd0.REMGZYFYGUEYQ6QU.SEARCH&ppt=None&ppn=None&ssid=mhjnvn64y80000001755100140781
REMH3YJMHHUMJ4BY,S-Cat Remote Control Compatible for Tata Sky TATA SKY Remote Controller  (Black),S-Cat,150,49,299,4.1,183,8,Home & Kitchen,Home Appliances,Available,https://www.flipkart.com/s-cat-remote-control-compatible-tata-sky-controller/p/itmba438804030b8?pid=REMH3YJMHHUMJ4BY&lid=LSTREMH3YJMHHUMJ4BYWH3V1E&marketplace=FLIPKART&store=j9e&srno=b_1_7&otracker=product_breadCrumbs_Home%20%26%20Kitchen&fm=organic&iid=e7ca7e5c-0ecf-4535-981e-020620c47cd0.REMH3YJMHHUMJ4BY.SEARCH&ppt=None&ppn=None&ssid=mhjnvn64y80000001755100140781
EKTH97ZFSKEPYP6U,"Owqust Electric Kettle & Vacuum Flask Set (500ml,Multicolor) With 3 coffee Mug Electric Kettle  (2 L, Silver, Black)",Owqust,711,71,"2,499",3.9,901,96,Home & Kitchen,Kitchen Appliances,Available,https://www.flipkart.com/owqust-electric-kettle-vacuum-flask-set-500ml-multicolor-3-coffee-mug/p/itma68c5e0fb5435?pid=EKTH97ZFSKEPYP6U&lid=LSTEKTH97ZFSKEPYP6UKK3L66&marketplace=FLIPKART&store=j9e&srno=b_1_9&otracker=product_breadCrumbs_Home%20%26%20Kitchen&fm=organic&iid=e7ca7e5c-0ecf-4535-981e-020620c47cd0.EKTH97ZFSKEPYP6U.SEARCH&ppt=None&ppn=None&ssid=mhjnvn64y80000001755100140781
WSLFCN7MZVGJW3ZC,texla 1 gm TO 10 kg electronic kitchen scale(white) Weighing Scale  (White),texla,220,67,667,3.9,"32,166","2,465",Home & Kitchen,Kitchen Appliances,Available,https://www.flipkart.com/texla-1-gm-10-kg-electronic-kitchen-scale-white-weighing-scale/p/itmfcnfygjvgzruq?pid=WSLFCN7MZVGJW3ZC&lid=LSTWSLFCN7MZVGJW3ZCJSXCF2&marketplace=FLIPKART&store=j9e&srno=b_1_10&otracker=product_breadCrumbs_Home%20%26%20Kitchen&fm=organic&iid=e7ca7e5c-0ecf-4535-981e-020620c47cd0.WSLFCN7MZVGJW3ZC.SEARCH&ppt=None&ppn=None&ssid=mhjnvn64y80000001755100140781
REMGDKY5JDVJTKFX,"NeroEdge MI 4A High Quality LCD LED Smart TV Remote Control Compatible for Smart TV mi Netflix Prime Video Hot Keys, MI 4K Smart LED TV Remote XMRM00A Remote Controller  (Black D)",NeroEdge,299,85,"1,999",3.7,"1,679",138,Home & Kitchen,Home Appliances,Available,https://www.flipkart.com/neroedge-mi-4a-high-quality-lcd-led-smart-tv-remote-control-compatible-netflix-prime-video-hot-keys-4k-xmrm00a-controller/p/itm2b3ff00eb302d?pid=REMGDKY5JDVJTKFX&lid=LSTREMGDKY5JDVJTKFX6LXARM&marketplace=FLIPKART&store=j9e&srno=b_1_13&otracker=product_breadCrumbs_Home%20%26%20Kitchen&fm=organic&iid=e7ca7e5c-0ecf-4535-981e-020620c47cd0.REMGDKY5JDVJTKFX.SEARCH&ppt=None&ppn=None&ssid=mhjnvn64y80000001755100140781
REMGHSNWXVJ5C9FY,Xpecial RM without Voice Control Function Remote Compatible with REALME 4K SMART LED LCD TV Remote Controller  (Black),Xpecial,172,80,899,3.8,"4,908",277,Home & Kitchen,Home Appliances,Available,https://www.flipkart.com/xpecial-rm-without-voice-control-function-remote-compatible-realme-4k-smart-led-lcd-tv-controller/p/itmca15c27e08312?pid=REMGHSNWXVJ5C9FY&lid=LSTREMGHSNWXVJ5C9FYOFOVTS&marketplace=FLIPKART&store=j9e&srno=b_1_15&otracker=product_breadCrumbs_Home%20%26%20Kitchen&fm=organic&iid=e7ca7e5c-0ecf-4535-981e-020620c47cd0.REMGHSNWXVJ5C9FY.SEARCH&ppt=None&ppn=None&ssid=mhjnvn64y80000001755100140781
WSLGYSZQZDZU973D,"SSVL Electronic Digital 1Gram-10 Kg Weight Scale Kitchen Weight Scale Machine Measure for measuring fruits,shop,Food,Vegetable,vajan,kirana kata,kirana weight machine Weighing Scale for grocery,kata,taraju,shop,computer kata,tarazu,jewellery,sabzi,kirana, Weighing scale (White) Weighing Scale (White) Weighing Scale  (White)",SSVL,222,77,999,4,"7,578",526,Home & Kitchen,Kitchen Appliances,Available,https://www.flipkart.com/ssvl-electronic-digital-1gram-10-kg-weight-scale-kitchen-machine-measure-measuring-fruits-shop-food-vegetable-vajan-kirana-kata-kirana-weighing-grocery-kata-taraju-shop-computer-kata-tarazu-jewellery-sabzi-kirana-white/p/itmd8afb6e067131?pid=WSLGYSZQZDZU973D&lid=LSTWSLGYSZQZDZU973DOJ9UG7&marketplace=FLIPKART&store=j9e&srno=b_1_16&otracker=product_breadCrumbs_Home%20%26%20Kitchen&fm=organic&iid=e7ca7e5c-0ecf-4535-981e-020620c47cd0.WSLGYSZQZDZU973D.SEARCH&ppt=None&ppn=None&ssid=mhjnvn64y80000001755100140781
REMGDGR5WPZ6HX9N,Mi 4A LCD LED Smart TV Remote Control Compatible for Smart TV MI Remote Controller  (Dark Black),Mi,188,81,999,4,"20,206","1,515",Home & Kitchen,Home Appliances,Available,https://www.flipkart.com/mi-4a-lcd-led-smart-tv-remote-control-compatible-controller/p/itm5109b1929f4a8?pid=REMGDGR5WPZ6HX9N&lid=LSTREMGDGR5WPZ6HX9NXZJBEH&marketplace=FLIPKART&store=j9e&srno=b_1_19&otracker=product_breadCrumbs_Home%20%26%20Kitchen&fm=organic&iid=e7ca7e5c-0ecf-4535-981e-020620c47cd0.REMGDGR5WPZ6HX9N.SEARCH&ppt=None&ppn=None&ssid=mhjnvn64y80000001755100140781
