pid,Review Text,Review Rating,Review Date,Reviewer Name
REMGAXA4GM4XUFZF,Mi stick remote great,5,01-04-2024,Sandip Desai
REMGAXA4GM4XUFZF,Build quality is not ok not robust,3,01-01-2025,Samuel Toppo
REMGAXA4GM4XUFZF,"The replacement remote was ordered for Redmi 65 inch TV.

Every button and the voice command function work flawlessly, making navigation smooth and effortless.

The intuitive layout and sturdy build add to its high-quality feel, making this replacement remote even better than the original.

Actually, I was worried whether it would receive voice control. Clearing all my doubts, it is working absolutely fine with all my voice commands.

Overall a very good replacement remote well built and ful...
READ MORE",5,01-11-2024,VADDADI SATYANARAYANA
REMGAXA4GM4XUFZF,Good quality nd smooth working,4,01-06-2025,Flipkart Customer
REMGAXA4GM4XUFZF,Remote didn't connecting tv to pair,2,01-12-2024,TANMAY KANJI
REMGAXA4GM4XUFZF,All functions working now.good,5,12-08-2025,Mustafa Thongan
REMGAXA4GM4XUFZF,Nice,5,09-08-2025,Jeevesh Narayan
REMGAXA4GM4XUFZF,Remote condition is very good.All buttons on the remote are working.,4,09-08-2025,Flipkart Customer
REMGAXA4GM4XUFZF,Its very good product,5,08-08-2025,Divya Sen
REMGAXA4GM4XUFZF,Doesn't work for my MI tv4A,1,06-08-2025,K zosangpuia Khiangte
REMGAXA4GM4XUFZF,Good remote for mi box 4k.,5,05-08-2025,Uttam Naskar
REMGAXA4GM4XUFZF,Not working on TV,1,02-08-2025,mahendra singh
REMGAXA4GM4XUFZF,Works like an original one. Good product,5,02-08-2025,sandesh revankar
REMGAXA4GM4XUFZF,Good product.,4,02-08-2025,Prashant Kumar
REMGAXA4GM4XUFZF,Very good product,5,01-08-2025,SUHAS NIVALE
REMGAXA4GM4XUFZF,Good remote for mi tv,5,31-07-2025,Mahlimi Khiangte
REMGAXA4GM4XUFZF,Perfect,5,30-07-2025,Flipkart Customer
REMGAXA4GM4XUFZF,Really good product,5,30-07-2025,Ganesh Sathe
REMGAXA4GM4XUFZF,Thank,5,27-07-2025,Shailesh Sarode
REMGAXA4GM4XUFZF,Best product,5,26-07-2025,Aayush Raj
REMGAXA4GM4XUFZF,Good Product,5,24-07-2025,KBS VARMA
REMGAXA4GM4XUFZF,"Same Orginal ,best quality, proper voice assistant..",5,24-07-2025,INDER
REMGAXA4GM4XUFZF,Signal issues are there for sometimez,3,22-07-2025,Flipkart Customer
REMGAXA4GM4XUFZF,Happy,5,22-07-2025,amol thorat
REMGAXA4GM4XUFZF,Super remont,5,22-07-2025,Bipul Mandal
REMGAXA4GM4XUFZF,Microphone doesn't work.,1,20-07-2025,Upendra Chhetri
